Humedad;Temp;pm10;pm2,5;uv;etiq
0,95;0,81;0,46;0,47;0,35;1
0,95;0,81;0,46;0,44;0,41;1
0,95;0,81;0,46;0,47;0,43;1
0,95;0,81;0,46;0,45;0,43;1
0,97;0,80;0,49;0,49;0,43;1
0,97;0,80;0,48;0,46;0,43;1
0,97;0,80;0,49;0,47;0,43;1
0,97;0,80;0,49;0,46;0,43;1
0,97;0,80;0,44;0,47;0,43;1
0,97;0,80;0,46;0,49;0,44;1
0,97;0,80;0,47;0,51;0,46;1
0,97;0,80;0,45;0,44;0,46;1
0,97;0,80;0,44;0,47;0,46;1
0,97;0,80;0,47;0,47;0,46;1
0,97;0,81;0,46;0,47;0,46;1
0,97;0,81;0,48;0,46;0,46;1
0,97;0,81;0,49;0,44;0,44;1
0,97;0,81;0,46;0,47;0,44;1
0,97;0,81;0,46;0,44;0,44;1
0,97;0,81;0,47;0,49;0,41;1
0,97;0,81;0,47;0,49;0,41;1
0,97;0,81;0,47;0,48;0,38;1
0,97;0,81;0,46;0,44;0,39;1
0,97;0,81;0,47;0,49;0,43;1
0,97;0,81;0,46;0,51;0,39;1
0,97;0,81;0,49;0,44;0,40;1
0,97;0,81;0,46;0,44;0,43;1
0,97;0,81;0,47;0,47;0,43;1
0,97;0,81;0,47;0,47;0,43;1
0,97;0,81;0,47;0,47;0,43;1
0,95;0,81;0,46;0,47;0,43;1
0,95;0,81;0,47;0,48;0,44;1
0,95;0,81;0,49;0,45;0,46;1
0,95;0,81;0,46;0,45;0,46;1
0,97;0,81;0,46;0,45;0,46;1
0,97;0,81;0,47;0,47;0,46;1
0,95;0,82;0,45;0,48;0,46;1
0,95;0,82;0,44;0,47;0,46;1
0,95;0,82;0,46;0,51;0,44;1
0,95;0,82;0,46;0,51;0,44;1
0,95;0,82;0,47;0,45;0,44;1
0,95;0,82;0,45;0,46;0,41;1
0,95;0,82;0,49;0,45;0,41;1
0,95;0,82;0,46;0,47;0,38;1
0,95;0,82;0,49;0,51;0,39;1
0,95;0,82;0,47;0,48;0,43;1
0,95;0,82;0,44;0,46;0,39;1
0,95;0,82;0,46;0,46;0,40;1
0,95;0,82;0,45;0,47;0,51;1
0,95;0,82;0,46;0,47;0,51;1
0,95;0,82;0,46;0,47;0,51;1
0,95;0,82;0,49;0,45;0,53;1
0,94;0,82;0,47;0,45;0,48;1
0,94;0,82;0,49;0,45;0,53;1
0,94;0,82;0,49;0,47;0,50;1
0,94;0,82;0,46;0,45;0,51;1
0,94;0,82;0,49;0,49;0,48;1
0,94;0,82;0,46;0,50;0,48;1
0,94;0,82;0,47;0,47;0,46;1
0,94;0,82;0,47;0,47;0,44;1
0,94;0,82;0,47;0,46;0,44;1
0,94;0,82;0,46;0,49;0,44;1
0,94;0,82;0,47;0,50;0,41;1
0,94;0,82;0,47;0,46;0,41;1
0,94;0,82;0,50;0,46;0,38;1
0,94;0,82;0,46;0,47;0,39;1
0,94;0,82;0,49;0,45;0,43;1
0,94;0,82;0,45;0,46;0,39;1
0,94;0,82;0,47;0,46;0,40;1
0,94;0,82;0,46;0,49;0,43;1
0,94;0,82;0,47;0,47;0,43;1
0,94;0,82;0,45;0,47;0,43;1
0,94;0,82;0,45;0,45;0,43;1
0,94;0,82;0,47;0,46;0,43;1
0,94;0,82;0,47;0,48;0,44;1
0,95;0,81;0,47;0,45;0,46;1
0,95;0,81;0,45;0,50;0,46;1
0,95;0,82;0,44;0,46;0,46;1
0,95;0,82;0,46;0,45;0,46;1
0,95;0,82;0,47;0,45;0,46;1
0,94;0,82;0,47;0,47;0,46;1
0,94;0,82;0,46;0,46;0,44;1
0,94;0,82;0,46;0,49;0,44;1
0,94;0,82;0,46;0,49;0,44;1
0,94;0,82;0,47;0,45;0,41;1
0,94;0,82;0,47;0,51;0,41;1
0,94;0,82;0,47;0,51;0,38;1
0,94;0,82;0,46;0,47;0,39;1
0,94;0,82;0,45;0,49;0,43;1
0,94;0,82;0,48;0,47;0,39;1
0,94;0,82;0,46;0,48;0,40;1
0,94;0,82;0,47;0,48;0,46;1
0,94;0,82;0,48;0,49;0,46;1
0,94;0,82;0,46;0,48;0,46;1
0,94;0,82;0,45;0,48;0,46;1
0,94;0,82;0,48;0,47;0,46;1
0,94;0,82;0,47;0,47;0,44;1
0,94;0,82;0,46;0,48;0,44;1
0,94;0,82;0,45;0,51;0,44;1
0,94;0,82;0,46;0,46;0,41;1
0,94;0,82;0,46;0,50;0,41;1
0,94;0,82;0,46;0,47;0,38;1
0,94;0,82;0,47;0,47;0,39;1
0,94;0,82;0,46;0,45;0,43;1
0,94;0,82;0,46;0,47;0,39;1
0,94;0,82;0,46;0,47;0,43;1
0,94;0,82;0,45;0,47;0,43;1
0,94;0,82;0,45;0,47;0,43;1
0,94;0,82;0,47;0,50;0,43;1
0,94;0,82;0,46;0,47;0,43;1
0,94;0,82;0,47;0,45;0,43;1
1,00;0,95;0,55;0,51;0,81;1
1,00;0,95;0,56;0,51;0,84;1
1,00;0,95;0,55;0,50;0,84;1
0,99;0,95;0,57;0,49;0,84;1
0,99;0,95;0,55;0,47;0,84;1
0,99;0,95;0,55;0,47;0,84;1
0,99;0,95;0,55;0,47;0,84;1
0,99;0,96;0,55;0,45;0,81;1
0,99;0,96;0,53;0,47;0,82;1
1,00;0,96;0,52;0,47;0,81;1
1,00;0,96;0,55;0,48;0,79;1
1,00;0,96;0,54;0,49;0,91;1
1,00;0,96;0,57;0,45;0,88;1
1,00;0,96;0,53;0,46;0,89;1
1,00;0,96;0,54;0,48;0,80;1
1,00;0,96;0,55;0,48;0,89;1
1,00;0,96;0,55;0,47;0,90;1
1,00;0,96;0,52;0,46;0,93;1
1,00;0,96;0,53;0,47;0,93;1
1,00;0,96;0,55;0,47;0,93;1
1,00;0,96;0,58;0,46;0,93;1
0,99;0,96;0,55;0,45;0,93;1
0,99;0,96;0,55;0,47;0,94;1
0,99;0,96;0,55;0,45;0,96;1
0,99;0,96;0,55;0,46;0,96;1
0,99;0,97;0,56;0,47;0,96;1
0,99;0,97;0,55;0,48;0,96;1
