Humedad;pm10;pm2.5;uv;etiq
82;5.63;7.75;2.8;1
82;5.64;7.36;3.3;1
82;5.6;7.87;3.4;1
82;5.6;7.4;3.4;1
83;5.93;8.1;3.4;1
83;5.86;7.61;3.4;1
83;5.92;7.76;3.4;1
83;5.95;7.56;3.4;1
83;5.31;7.8;3.4;1
83;5.62;8.17;3.5;1
83;5.74;8.47;3.7;1
83;5.52;7.35;3.7;1
83;5.33;7.83;3.7;1
83;5.76;7.81;3.7;1
83;5.62;7.75;3.7;1
83;5.85;7.54;3.7;1
83;5.92;7.37;3.5;1
83;5.65;7.78;3.53;1
83;5.65;7.37;3.5;1
83;5.69;8.04;3.3;1
83;5.69;8.04;3.3;1
83;5.66;7.98;3;1
83;5.64;7.37;3.1;1
83;5.68;8.17;3.4;1
83;5.56;8.37;3.1;1
83;5.98;7.36;3.2;1
83;5.64;7.36;3.4;1
83;5.66;7.73;3.4;1
83;5.66;7.85;3.4;1
83;5.68;7.86;3.4;1
82;5.65;7.76;3.4;1
82;5.66;8.02;3.5;1
82;5.98;7.38;3.7;1
82;5.6;7.38;3.7;1
83;5.65;7.41;3.7;1
83;5.74;7.85;3.7;1
82;5.47;8.01;3.7;1
82;5.34;7.85;3.7;1
82;5.64;8.47;3.5;1
82;5.57;8.48;3.53;1
82;5.7;7.46;3.5;1
82;5.5;7.55;3.3;1
82;5.92;7.4;3.3;1
82;5.56;7.71;3;1
82;5.94;8.52;3.1;1
82;5.68;7.92;3.4;1
82;5.41;7.63;3.1;1
82;5.54;7.62;3.2;1
82;5.48;7.78;4.1;1
82;5.6;7.85;4.1;1
82;5.54;7.71;4.1;1
82;5.92;7.43;4.2;1
81;5.68;7.41;3.8;1
81;5.92;7.41;4.2;1
81;6;7.85;4;1
81;5.54;7.41;4.1;1
81;5.94;8.04;3.8;1
81;5.54;8.29;3.8;1
81;5.76;7.85;3.7;1
81;5.66;7.87;3.5;1
81;5.7;7.58;3.53;1
81;5.65;8.07;3.5;1
81;5.76;8.26;3.3;1
81;5.78;7.57;3.3;1
81;6.09;7.7;3;1
81;5.65;7.84;3.1;1
81;5.92;7.43;3.4;1
81;5.46;7.7;3.1;1
81;5.68;7.6;3.2;1
81;5.54;8.04;3.4;1
81;5.76;7.84;3.4;1
81;5.48;7.76;3.4;1
81;5.48;7.51;3.4;1
81;5.7;7.57;3.4;1
81;5.68;8.03;3.5;1
82;5.66;7.41;3.7;1
82;5.48;8.27;3.7;1
82;5.34;7.57;3.7;1
82;5.56;7.4;3.7;1
82;5.74;7.41;3.7;1
81;5.78;7.73;3.7;1
81;5.64;7.56;3.5;1
81;5.54;8.09;3.53;1
81;5.64;8.04;3.5;1
81;5.66;7.41;3.3;1
81;5.69;8.42;3.3;1
81;5.7;8.41;3;1
81;5.65;7.81;3.1;1
81;5.52;8.04;3.4;1
81;5.9;7.75;3.1;1
81;5.56;8.02;3.2;1
81;5.7;8.01;3.7;1
81;5.9;8.1;3.7;1
81;5.62;8.02;3.7;1
81;5.5;7.94;3.7;1
81;5.89;7.78;3.7;1
81;5.77;7.83;3.5;1
81;5.64;7.89;3.53;1
81;5.48;8.42;3.5;1
81;5.56;7.56;3.3;1
81;5.64;8.32;3.3;1
81;5.58;7.86;3;1
81;5.76;7.86;3.1;1
81;5.63;7.4;3.4;1
81;5.63;7.8;3.1;1
81;5.58;7.87;3.4;1
